Sample ID,Site,Date,Time,Type,NRS_LWIA_notes,dD,d18O,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Notes
RI23-1070,Wade,4/1/2023,20:00,Grab/Isco,,-86.996,-13.057,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.02173889,0.000697066,-0.001176202,-0.008137154,1.010726775,0.269050581,-0.01891766,0.360545045,-0.82391887,0.046167978,2.817128657,
RI23-1071,Wade,4/2/2023,2:00,Grab/Isco,,-88.055,-13.392,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.017966364,-0.000899831,0.000071504,-0.008163888,0.998054911,0.258750119,-0.015558634,0.332864429,-0.854569356,0.058083936,2.694121633,
RI23-1072,Wade,4/2/2023,8:00,Grab/Isco,,-87.78,-13.383,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.012735074,-0.001379975,-0.001208088,-0.008036699,1.021814584,0.242394853,-0.0170764,0.366685728,-0.796555265,0.057991194,2.809760334,
RI23-1073,Wade,4/2/2023,14:00,Grab/Isco,,-86.61,-13.449,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.008768052,-0.001134997,-0.001257182,-0.007673665,1.096390215,0.228079413,-0.01959113,0.373492947,-0.772736884,0.047372034,2.852341465,
RI23-1074,Wade,4/2/2023,20:00,Grab/Isco,,-86.264,-13.438,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.006459387,0.00895484,-0.00126632,-0.007030601,1.057502417,0.257427128,-0.022872121,0.391463187,-0.726475472,0.037434541,2.950587448,
RI23-1074,Wade,4/2/2023,20:00,Grab/Isco,,-86.264,-13.438,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.010919397,0.009923653,-0.001405038,-0.007688091,1.279718809,0.245479163,-0.009385169,0.396460512,-0.747720014,0.049405371,2.996397878,
RI23-1075,Wade,4/3/2023,2:00,Grab/Isco,,-86.479,-13.355,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.002557897,-0.016453343,0.000455748,-0.014389707,1.268876633,0.04061056,-0.048028714,0.413744815,-0.79203917,0.021207666,3.183534821,
RI23-1076,Hungerford,,,Grab/Isco,,-73.396,-11.262,NA.,41.0431,NA.,NA.,13.4771,NA.,22.8021,0.07447189,0.01382469,0.000762524,-0.012692266,1.741049428,1.760903075,0.000524982,5.979822784,13.07524376,-0.035291324,38.25994969,
RI23-1077,Wade,4/3/2023,14:00,Grab/Isco,,-84.668,-12.58,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.001128697,-0.016263509,-0.00000495159,0.304437855,1.351217087,0.015507078,-0.045805235,0.392955423,-0.849758607,0.021340273,2.886000661,
RI23-1078,Wade,4/3/2023,22:00,Grab/Isco,,-84.596,-12.971,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.011288704,-0.001067489,-0.001309167,0.052094637,1.130374338,0.266937275,-0.017656168,0.422942735,-0.781042138,0.036524847,3.087491001,
RI23-1079,Wade,4/4/2023,6:00,Grab/Isco,,-84.992,-12.716,NA.,NA.,NA.,NA.,NA.,NA.,NA.,,,,,,,,,,,,
RI23-1080,Wade,4/4/2023,14:00,Grab/Isco,,-84.909,-12.662,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.006015248,-0.01679581,0.0000910232,0.007496276,1.0213899,0.041539688,-0.046511003,0.401037267,-0.832124948,0.006182841,3.115862819,
RI23-1081,Wade,4/5/2023,14:00,Grab/Isco,,-85.309,-12.684,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.003036492,-0.007410095,0.000244656,-0.00064442,1.113853289,0.047755516,-0.042345271,0.402501267,-0.806651462,0.010775109,3.067938873,
RI23-1082,Wade,4/5/2023,22:00,Grab/Isco,,-81.023,-11.998,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.013863985,-0.015068444,0.000709343,-0.007303387,0.838482332,0.087136672,-0.054591578,0.251554121,-0.988471588,0.058664107,2.095150301,
RI23-1083,Wade,4/6/2023,6:00,Grab/Isco,,-83.691,-12.527,NA.,NA.,NA.,NA.,NA.,NA.,NA.,,,,,,,,,,,,
