Sample ID,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,UVM-AgLab-ICP-notes-MED
RI24-1188,0,-0.015,0.004,-0.009,1.011,0.573,-0.037,0.321,0.483,0.018,2.599,UVM-Aglab_
RI24-1189,0.007,-0.009,0.003,0.007,2.847,2.918,0.028,5.847,11.739,-0.031,32.011,UVM-Aglab_Replaced with Si run values
RI24-1190,0.025,-0.006,0.002,0.009,2.249,3.089,0.038,6.155,12.305,-0.019,33.687,UVM-Aglab_Replaced with Si run values
RI24-1193,0.005,-0.007,0.002,0.002,2.587,3.046,0.023,6.456,13.374,-0.031,36.034,UVM-Aglab_Replaced with Si run values
RI24-1194,0.018,-0.007,0.002,0.004,3.432,3.108,0.05,6.375,12.934,-0.046,35.998,UVM-Aglab_Replaced with Si run values
RI24-1195,0.014,-0.008,0.002,0.002,3.533,3.222,0.052,6.496,13.039,-0.046,36.969,UVM-Aglab_Replaced with Si run values
RI24-1196,0.005,-0.009,0.002,-0.002,2.7,3.064,0.03,6.384,13.228,-0.05,36.293,UVM-Aglab_Replaced with Si run values
RI24-1197,0.009,-0.009,0.002,-0.002,2.28,2.967,0.027,5.874,13.046,-0.043,33.332,UVM-Aglab_Replaced with Si run values
RI24-1198,0.019,-0.008,0.003,0.002,2.805,3.505,0.049,5.994,12.494,-0.038,33.421,UVM-Aglab_Replaced with Si run values
RI24-1199,0.016,-0.009,0.003,0.003,2.392,3.459,0.031,5.734,12.997,-0.04,31.714,UVM-Aglab_Replaced with Si run values
RI24-1200,0.02,-0.008,0.003,0.007,2.93,3.15,0.032,5.392,12.013,-0.034,29.902,UVM-Aglab_Replaced with Si run values
RI24-1203,0.065,0.037,0.007,-0.002,2.353,3.985,0.134,14.316,138.897,-0.021,44.293,UVM-Aglab_
RI24-1204,0.007,-0.009,0.002,0.003,2.603,3.044,0.033,5.432,11.542,-0.04,29.794,UVM-Aglab_Replaced with Si run values
RI24-1205,0.011,-0.008,0.002,0.001,2.723,2.934,0.024,5.478,11.297,-0.034,30.104,UVM-Aglab_Replaced with Si run values
RI24-1206,0.012,-0.008,0.002,0.003,2.731,2.801,0.031,5.454,11.214,-0.037,30.65,UVM-Aglab_Replaced with Si run values
RI24-1207,0.068,0.001,0.002,0.006,2.446,2.704,0.033,5.554,11.168,-0.011,30.002,UVM-Aglab_Replaced with Si run values
RI24-1208,0.011,-0.009,0.002,0,2.712,2.631,0.016,5.586,11.273,-0.044,31.25,UVM-Aglab_Replaced with Si run values
RI24-1209,0.037,-0.003,0.002,-0.003,2.47,2.695,0.019,5.733,11.635,-0.032,31.917,UVM-Aglab_Replaced with Si run values
RI24-1210,0.022,0.008,0.002,0.001,2.736,3.058,0.045,6.22,12.197,-0.044,32.959,UVM-Aglab_Replaced with Si run values
RI24-1212,0.091,-0.006,0.004,0.002,0.151,0.3,0.008,0.12,1.433,0.289,0.35,UVM-Aglab_
RI24-1213,0.05,0,0.005,0.014,0.238,1.512,0.088,1.102,1.882,0.127,4.489,UVM-Aglab_
RI24-1214,0.025,0.057,0.007,-0.001,2.248,4.057,0.145,15.587,161.717,-0.023,50.959,UVM-Aglab_
RI24-1215,0.021,0.048,0.006,-0.006,2.079,3.034,0.141,16.155,156.764,-0.025,47.939,UVM-Aglab_Replaced with re-run
RI24-1216,0.034,0.043,0.006,-0.004,2.124,3.989,0.145,15.553,159.153,-0.039,47.571,UVM-Aglab_
RI24-1217,0.013,0.045,0.006,-0.004,2.057,4.138,0.136,15.766,162.302,-0.039,49.417,UVM-Aglab_
RI24-1218,0.017,0.032,0.007,-0.003,1.946,3.981,0.14,15.314,167.374,-0.02,39.94,UVM-Aglab_
RI24-1219,0.055,0.044,0.007,-0.005,2.098,3.947,0.125,13.194,152.759,-0.031,43.878,UVM-Aglab_
