Sample ID,Site,Date,Time,Type,Type2,Index-notes,d18O,dD,HCO3_mg_L,Cl_mg_L,SO4_mg_L,Si_mg_L,Na_mg_L,Mg_mg_L,K_mg_L,Ca_mg_L,Mn_mg_L,ICP-notes
PR-13468,PR Soapstone,06/08/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.7203824165582,-126.402293804668,12.2950819672131,0.6064,1.0493,1.177,0.865588656083233,0.627867007573225,0.318002002817184,2.93033418059853,0.0099214417513063,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13469,PR Woodland,06/08/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5579010094526,-125.855105049168,28.6885245901639,1.2716,1.7748,2.402,1.47217006477883,1.69361910782644,0.468526257310007,8.67588994432767,0.0145935749637245,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13470,PR Hailstone,06/08/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5463329141468,-125.501898230168,41.2,2.0596,2.0045,2.448,2.09062348023112,2.18205930099837,0.529838797001175,10.6553248989306,0.0195663660090241,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13472,PR Soapstone,06/15/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5505574967407,-126.163221635956,28.6885245901639,0.7283,1.544,1.285,0.855815010455718,1.48485232542424,0.303140386516412,7.05736664873153,0.00578821182614888,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13473,PR Woodland,06/15/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5379497580621,-125.688365127965,36.8852459016393,5.3842,2.4018,2.463,1.77526235283154,2.12257602752342,0.471507279109803,10.4159108497803,0.0136928157548298,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13474,PR Hailstone,06/15/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.4590688799426,-125.508004199113,53.2786885245902,2.5504,2.8247,2.517,2.4876881493142,3.43442705646011,0.542901419563185,15.9651016742891,0.0276255785405487,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13493,PR Soapstone,06/29/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.2183831880235,-124.798459294986,12.29508,0.7391,1.4564,1.243,0.89702816589986,0.742222987054471,0.321972731334372,3.25272988177616,0.00712095165489129,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13494,PR Woodland,06/29/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.318271463182,-125.709814300927,49.1803278688525,2.0307,5.5577,2.597,1.94171172352692,3.04856342586154,0.515059366255833,13.9511900002891,0.0135231594467185,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13495,PR Hailstone,06/29/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.2630383462226,-124.775444488961,65.5737704918033,3.113,6.8121,2.766,2.85565011118502,4.75489439292497,0.624624749994087,20.9355712424887,0.0405677934398943,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13510,PR Soapstone,07/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.1064152470108,-123.979633203065,16.3934426229508,0.7438,1.6324,1.344,0.960226536724016,0.947661428079853,0.346384136525291,4.32337696895191,0.00787169662890113,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13511,PR Woodland,07/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.2970990433855,-124.472964181199,68.7,2.3851,6.6776,3.367,2.49759852443687,4.17806691335442,0.576418929987772,19.0666416492702,0.0150783438254331,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13512,PR Hailstone,07/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.1224224544953,-124.012198370774,96.1,4.8642,6.2095,3.844,4.12258334289279,5.53145104305758,0.730149191305438,24.0945555083218,0.0344313303793384,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13650,PR Soapstone,08/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.5565099119528,-120.829422917111,10.0358815456149,1.0483,1.0608,1.106,0.776531742847323,0.668392970758157,0.284641557567715,2.32759936851723,0.00517311844389694,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13651,PR Woodland,08/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.9568716240988,-123.994663280469,90.8,3.2634,9.6005,3.668,2.36675448599823,5.81871086577401,0.721882405122177,26.0506546868149,0.00695778612722442,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13652,PR Hailstone,08/17/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-16.7652802025575,-122.718672334168,90.1639344262295,8.8677,8.1506,5.678,5.17495904071316,6.04886656113534,0.896865452552645,26.3456961546973,0.0169844919537859,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
