Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L,Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L
30.14,13.67,1.86,28.3464,5.46,0.5697080513491289,0.12250999370126812,0.15573453931420184,0.07823605178569415,0.07381136384970713
33.02,15.38,2.43,29.1239,5.87,0.4724496536776677,0.14877283616129047,0.06595244984023577,0.24711856132291515,0.06570649899789092
34.03,14.82,2.1,30.995,5.99,0.4091740011855194,0.16585926296599654,0.00754083264740339,0.35699237418971713,0.06043352901136365
34.77,16.63,2.3,30.2089,6.36,0.4260643037581534,0.1612983472385378,0.023132768080486983,0.32766352697854784,0.0618410539442739
32.33,15.84,2.25,32.4384,5.94,0.42282111335826006,0.1621741111887931,0.020138883566288637,0.33329510375499455,0.0615707881316637
34.85,16.94,2.46,33.1308,6.2,0.43218776722370256,0.15964481849288992,0.028785517435988863,0.3170305543830629,0.06235134246435584
33.98,16.76,1.93,33.275,6.22,0.38963073097888484,0.17113656383542158,-0.010500135292795613,0.390927916991991,0.058804923486498246
37.77,17.8,2.41,33.369,6.46,0.42293779807554405,0.16214260262582184,0.02024659866316713,0.3330924887793077,0.0615805118561595
34.52,16.93,2.3,33.5687,6.2,0.4193375553553434,0.16311478199174004,0.016923108643056645,0.33934406232038583,0.06128049168947394
35.42,15.91,2.45,33.8486,5.78,0.43698363884553965,0.15834978152047063,0.033212727685863,0.30870285359520744,0.06275099835291933
37.28,16.39,2.66,34.1581,5.99,0.44572884351178976,0.15598829975715578,0.04128568350882125,0.2935174079595315,0.06347976526270185
40.31,19.77,2.08,34.9349,7.06,0.40289515277571564,0.16755475055951077,0.0017446428764517938,0.36789516203980516,0.05991029174851665
55.03,24.01,1.39,42.7366,8.7,0.38864361474368075,0.17140311642929085,-0.01141137134307146,0.3926419763534184,0.05872266381668147
51.92,21.29,1.34,43.086000000000006,7.35,0.3829086954084175,0.17295172597488231,-0.01670544417597883,0.4026002688250308,0.05824475396764829
29.78,14.0,1.99,24.1469,4.94,0.40901707618366795,0.1659016376781071,0.00739597055945784,0.357264863648276,0.060420451930491184
29.8,13.78,2.02,24.73,4.92,0.40453171167321617,0.16711282791292562,0.003255398563185838,0.36505339022130384,0.060046671629368525
34.63,17.03,2.17,31.1543,5.91,0.4126290234192881,0.16492629772295542,0.01073026536224846,0.35099296602224134,0.06072144747326663
41.07,19.34,1.61,34.6252,7.16,0.38335611752997933,0.17283090785559352,-0.01629241564669546,0.40182335112413375,0.058282039136988845
38.01,15.72,2.49,20.7974,5.81,0.6238649897154431,0.10788590802348189,0.20572840310851837,-0.015803741991821153,0.07832444114437774
32.25,13.75,1.93,23.9145,5.33,0.4239625363869,0.16186589088186729,0.021192564759260492,0.3313131012736103,0.06166590669836196
32.32,13.37,2.07,26.884,5.08,0.38960596988286006,0.17114325011423773,-0.010522992989323608,0.39097091292998376,0.05880286006224215
37.76,16.26,2.03,29.1728,6.12,0.4026743143804907,0.16761438390862782,0.0015407804539354678,0.36827863270435096,0.05989188855259483
26.79,15.04,2.2,4.3103,4.65,0.38677135298614196,0.1719086863004732,-0.013139711277293442,0.39589302995592385,0.05856664203475436
31.95,14.05,2.33,24.8585,5.15,0.29508739486657126,0.19666625383041955,-0.09777587152974715,0.5550959091133917,0.05092631371936466
31.01,14.48,2.31,27.2592,5.11,0.18153901543394751,0.22732790641802833,-0.20259572262662684,0.7522648501157277,0.041463950658923186
33.16,15.88,2.23,29.1386,5.73,0.434207658688727,0.1590993839329717,0.03065013869834121,0.31352315196051356,0.0625196667194465
32.91,16.6,2.18,27.8714,5.59,0.428505347831722,0.1606391881584277,0.025386167711471706,0.32342482205532036,0.062044474243058104
34.83,15.89,2.28,31.0129,5.6,0.4315760968011452,0.15980998884660413,0.02822086646577515,0.31809267794713925,0.06230036993933618
40.08,15.96,2.22,31.4131,5.82,0.4182037586414587,0.16342094295255533,0.015876467525698785,0.341312822231409,0.06118600864887821
